Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2020-10-10 11:56:07,1,0.21448165,-0.0270729,-0.41537374,0.8835889,0.0
2020-10-10 11:56:07,102,0.21673942,-0.025353286,-0.4143804,0.88355535,0.0
2020-10-10 11:56:07,201,0.21725926,-0.026663965,-0.4144828,0.8833411,0.0
2020-10-10 11:56:07,301,0.21770817,-0.02598637,-0.4143426,0.8833165,0.0
2020-10-10 11:56:07,403,0.21743324,-0.025549958,-0.41270927,0.8841612,0.0
2020-10-10 11:56:07,501,0.21752799,-0.02568883,-0.41219506,0.8843737,0.0
2020-10-10 11:56:07,601,0.21848729,-0.024927817,-0.4116686,0.88440424,0.0
2020-10-10 11:56:07,702,0.21832018,-0.024587734,-0.41139188,0.8845838,0.0
2020-10-10 11:56:07,801,0.2183272,-0.02439641,-0.41118222,0.8846848,0.0
2020-10-10 11:56:08,901,0.21859814,-0.024895988,-0.4119937,0.8842263,0.0
2020-10-10 11:56:08,1002,0.21829404,-0.025077922,-0.41230813,0.8841498,0.0
2020-10-10 11:56:08,1101,0.21771488,-0.024451725,-0.41173935,0.88457507,0.0
2020-10-10 11:56:08,1201,0.21805596,-0.023961077,-0.4117348,0.8845066,0.0
2020-10-10 11:56:08,1302,0.21867767,-0.02389516,-0.41174334,0.8843509,0.0
2020-10-10 11:56:08,1401,0.2184798,-0.023955824,-0.41174468,0.88439757,0.0
2020-10-10 11:56:08,1501,0.21802494,-0.02332405,-0.41203046,0.8843936,0.0
2020-10-10 11:56:08,1602,0.21805824,-0.024195874,-0.4124279,0.8841767,0.0
2020-10-10 11:56:08,1701,0.21800531,-0.024194198,-0.41243613,0.8841859,0.0
2020-10-10 11:56:08,1801,0.21813777,-0.023777459,-0.4120152,0.8843608,0.0
2020-10-10 11:56:09,1902,0.21793813,-0.02370279,-0.41183594,0.8844955,0.0
2020-10-10 11:56:09,2001,0.21875042,-0.023475818,-0.4106792,0.8848388,0.0
2020-10-10 11:56:09,2101,0.21882425,-0.023477597,-0.40991175,0.8851763,0.0
2020-10-10 11:56:09,2202,0.21932669,-0.022918653,-0.41083816,0.88463694,0.0
2020-10-10 11:56:09,2301,0.21998493,-0.022536263,-0.410463,0.8846575,0.0
2020-10-10 11:56:09,2402,0.21948352,-0.02264381,-0.4094074,0.8852682,0.0
2020-10-10 11:56:09,2501,0.21924451,-0.022425389,-0.40924835,0.88540655,0.0
2020-10-10 11:56:09,2601,0.21903138,-0.022405015,-0.4091285,0.8855152,0.0
2020-10-10 11:56:09,2701,0.21875614,-0.022823267,-0.40892467,0.88566667,0.0
2020-10-10 11:56:09,2801,0.21872981,-0.022851363,-0.4094125,0.8854471,0.0
2020-10-10 11:56:10,2902,0.21821472,-0.022400122,-0.40884793,0.88584644,0.0
2020-10-10 11:56:10,3001,0.21787691,-0.022080265,-0.4071703,0.8867099,0.0
2020-10-10 11:56:10,3102,0.21785218,-0.022489643,-0.40712067,0.88672847,0.0
2020-10-10 11:56:10,3201,0.21741627,-0.021754919,-0.40675905,0.8870197,0.0
2020-10-10 11:56:10,3302,0.21690257,-0.02055066,-0.40519708,0.88788867,0.0
2020-10-10 11:56:10,3401,0.2166181,-0.01907521,-0.40240243,0.88926095,0.0
2020-10-10 11:56:10,3502,0.21527928,-0.018016702,-0.39748582,0.8918157,0.0
2020-10-10 11:56:10,3601,0.21705076,-0.017094512,-0.39488444,0.8925598,0.0
2020-10-10 11:56:10,3702,0.21816847,-0.015456379,-0.3929574,0.89316744,0.0
2020-10-10 11:56:10,3801,0.21580157,-0.012241734,-0.38696018,0.89640486,0.0
2020-10-10 11:56:11,3902,0.20243664,0.0068245693,-0.36365458,0.90924597,0.0
2020-10-10 11:56:11,4001,0.17010768,0.039677385,-0.3121817,0.9338263,0.0
2020-10-10 11:56:11,4102,0.14854847,0.05811907,-0.2592327,0.9525513,0.0
